Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes,Total Price
Ceiling below roof joists,,,,,Asphalt shingles,Dark,None,,18A-0 ad,18A-0,,5580.377478207495
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-11,18A-11 ad,18A-11,,8896.137396654183
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-13,18A-13 ad,18A-13,,5219.242527179729
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-15,18A-15 ad,18A-15,,8874.972933276988
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-19,18A-19 ad,18A-19,,5033.080154824951
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-21,18A-21 ad,18A-21,,8234.413411182448
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-30,18A-30 ad,18A-30,,5748.791398025502
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-38,18A-38 ad,18A-38,,7367.330215375083
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-2,18A-2 ad,18A-2,,6108.166293857903
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-3,18A-3 ad,18A-3,,6572.009484735503
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-4,18A-4 ad,18A-4,,5678.334996488036
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-5,18A-5 ad,18A-5,,8553.741018120576
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-6,18A-6 ad,18A-6,,6941.969888886332
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-8,18A-8 ad,18A-8,,7171.257094091693
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-10,18A-10 ad,18A-10,,5644.746714655547
Ceiling below roof joists,,,,,Asphalt shingles,Light,None,,18B-0 al,18B-0,,6735.802684203798
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-11,18B-11 al,18B-11,,5241.495338356457
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-13,18B-13 al,18B-13,,7856.596756243962
