Ceiling type,Deck construction,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Total Price
Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,nan,nan
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Blanket or loose fill,R-11
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Blanket or loose fill,R-13
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Blanket or loose fill,R-15
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Blanket or loose fill,R-19
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Blanket or loose fill,R-21
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Blanket or loose fill,R-30
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Blanket or loose fill,R-38
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Board insulation,R-2
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Board insulation,R-3
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Board insulation,R-4
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Board insulation,R-5
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Board insulation,R-6
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Board insulation,R-8
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Dark,Board insulation,R-10
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,nan,nan
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Blanket or loose fill,R-11
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Blanket or loose fill,R-13
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Blanket or loose fill,R-15
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Blanket or loose fill,R-19
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Blanket or loose fill,R-21
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Blanket or loose fill,R-30
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Blanket or loose fill,R-38
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Board insulation,R-2
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Board insulation,R-3
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Board insulation,R-4
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Board insulation,R-5
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Board insulation,R-6
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Board insulation,R-8
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,Light,Board insulation,R-10
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,nan,nan
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Blanket or loose fill,R-11
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Blanket or loose fill,R-13
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Blanket or loose fill,R-15
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Blanket or loose fill,R-19
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Blanket or loose fill,R-21
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Blanket or loose fill,R-30
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Blanket or loose fill,R-38
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Board insulation,R-2
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Board insulation,R-3
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Board insulation,R-4
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Board insulation,R-5
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Board insulation,R-6
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Board insulation,R-8
Ceiling below roof joists,nan,nan,nan,nan,Asphalt shingles,White,Board insulation,R-10
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,nan,nan
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Blanket or loose fill,R-11
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Blanket or loose fill,R-13
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Blanket or loose fill,R-15
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Blanket or loose fill,R-19
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Blanket or loose fill,R-21
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Blanket or loose fill,R-30
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Blanket or loose fill,R-38
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Board insulation,R-2
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Board insulation,R-3
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Board insulation,R-4
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Board insulation,R-5
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Board insulation,R-6
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Board insulation,R-8
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Dark,Board insulation,R-10
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,nan,nan
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Blanket or loose fill,R-11
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Blanket or loose fill,R-13
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Blanket or loose fill,R-15
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Blanket or loose fill,R-19
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Blanket or loose fill,R-21
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Blanket or loose fill,R-30
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Blanket or loose fill,R-38
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Board insulation,R-2
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Board insulation,R-3
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Board insulation,R-4
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Board insulation,R-5
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Board insulation,R-6
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Board insulation,R-8
Ceiling below roof joists,nan,nan,nan,nan,Membrane,Light,Board insulation,R-10
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,nan,nan
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Blanket or loose fill,R-11
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Blanket or loose fill,R-13
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Blanket or loose fill,R-15
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Blanket or loose fill,R-19
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Blanket or loose fill,R-21
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Blanket or loose fill,R-30
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Blanket or loose fill,R-38
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Board insulation,R-2
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Board insulation,R-3
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Board insulation,R-4
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Board insulation,R-5
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Board insulation,R-6
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Board insulation,R-8
Ceiling below roof joists,nan,nan,nan,nan,Membrane,White,Board insulation,R-10
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,nan,nan
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Blanket or loose fill,R-11
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Blanket or loose fill,R-13
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Blanket or loose fill,R-15
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Blanket or loose fill,R-19
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Blanket or loose fill,R-21
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Blanket or loose fill,R-30
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Blanket or loose fill,R-38
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Board insulation,R-2
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Board insulation,R-3
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Board insulation,R-4
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Board insulation,R-5
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Board insulation,R-6
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Board insulation,R-8
Ceiling below roof joists,nan,nan,nan,nan,Metal,Dark,Board insulation,R-10
Ceiling below roof joists,nan,nan,nan,nan,Metal,Light,nan,nan
Ceiling below roof joists,nan,nan,nan,nan,Metal,Light,Blanket or loose fill,R-11
Ceiling below roof joists,nan,nan,nan,nan,Metal,Light,Blanket or loose fill,R-13
Ceiling below roof joists,nan,nan,nan,nan,Metal,Light,Blanket or loose fill,R-15
Ceiling below roof joists,nan,nan,nan,nan,Metal,Light,Blanket or loose fill,R-19
Ceiling below roof joists,nan,nan,nan,nan,Metal,Light,Blanket or loose fill,R-21
Ceiling below roof joists,nan,nan,nan,nan,Metal,Light,Blanket or loose fill,R-30
Ceiling below roof joists,nan,nan,nan,nan,Metal,Light,Blanket or loose fill,R-38
Ceiling below roof joists,nan,nan,nan,nan,Metal,Light,Board insulation,R-2
